WPP;Cumi-cumi;Ikan Demersal;Ikan Karang;Ikan Pelagis Besar;Ikan Pelagis Kecil;Kepiting;Lobster;Rajungan;Udang Penaeid
571;0,62;0,33;0,34;0,52;0,83;1;1,3;0,93;1,59
572;0,39;0,57;0,33;0,95;0,5;0,18;0,93;0,49;1,53
573;1,11;0,39;1,09;1,06;1,5;0,28;0,61;0,98;1,7
711;1,84;0,61;1,53;0,93;1,41;1,09;0,54;1,18;0,53
712;2,02;0,83;1,22;0,63;0,38;0,7;1,36;0,65;1,11
713;1,19;0,96;1,27;1,13;1,23;0,83;1,4;0,73;0,52
714;1;0,58;0,76;0,78;0,44;1,55;1,73;0,77;0,39
715;1,86;0,22;0,34;0,97;0,88;1,19;1,32;0,98;0,78
716;1,42;0,45;1,45;0,63;0,48;0,38;0,75;0,5;0,5
717;1,09;0,39;0,91;1;0,7;0,87;1,04;1,21;0,46
718;1,28;0,67;1,07;0,99;0,51;0,85;0,97;0,77;0,86